"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00026_d0.00","crashed","LSTM training with lr=0.0002579886331786638, dropout=0","","","2025-08-03T00:28:13.000Z","46","","32","0","32","0.0002579886331786638","500","110","4","12","4","0.09273581842296608","7","0.006458675215106245","0.005496215337230972"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00042_d0.30","crashed","LSTM training with lr=0.00042454902016503347, dropout=0.3","","","2025-08-02T23:48:09.000Z","90","","32","0.3","32","0.00042454902016503347","500","110","4","12","4","0.09357820829386684","15","0.005264113596766091","0.004628518883208206"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00014_d0.30","crashed","LSTM training with lr=0.0001355588549214217, dropout=0.3","","","2025-08-02T23:16:20.000Z","345","","32","0.3","256","0.0001355588549214217","500","110","3","12","4","0.09378665685044468","23","0.006809790398823342","0.002669380158090068"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00036_d0.30","crashed","LSTM training with lr=0.0003555751989098634, dropout=0.3","","","2025-08-03T00:38:40.000Z","151","","32","0.3","256","0.0003555751989098634","500","110","4","12","4","0.09494365625723436","7","0.007404193440187582","0.00493407005474787"
"VanillaLSTM_pred12_r4_i110_n2_h128_e500_l0.00027_d0.01","crashed","LSTM training with lr=0.0002724659266922004, dropout=0.01","","","2025-08-02T23:09:48.000Z","76","","32","0.01","128","0.0002724659266922004","500","110","2","12","4","0.09525586047740638","17","0.006488262891602032","0.003074162848619475"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00066_d0.30","crashed","LSTM training with lr=0.0006641337530609951, dropout=0.3","","","2025-08-02T23:30:06.000Z","90","","32","0.3","32","0.0006641337530609951","500","110","4","12","4","0.09606960066508886","15","0.006364165425967193","0.003790714287614945"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00033_d0.00","crashed","LSTM training with lr=0.00032717084213360715, dropout=0","","","2025-08-02T23:21:16.000Z","346","","32","0","256","0.00032717084213360715","500","110","4","12","4","0.09780124657240773","19","0.006142351163173998","0.0010853527532520332"
"VanillaLSTM_pred12_r4_i110_n2_h256_e500_l0.00012_d0.00","crashed","LSTM training with lr=0.00011895630173313852, dropout=0","","","2025-08-02T23:20:19.000Z","46","","64","0","256","0.00011895630173313852","500","110","2","12","4","0.0986777019561096","6","0.005724272169687583","0.005597703291084402"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00017_d0.30","crashed","LSTM training with lr=0.00016744196715893033, dropout=0.3","","","2025-08-03T00:11:00.000Z","331","","32","0.3","256","0.0001674419671589303","500","110","3","12","4","0.10123130709050836","20","0.006913758489622236","0.00341356534882135"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00016_d0.50","crashed","LSTM training with lr=0.0001551739495941748, dropout=0.5","","","2025-08-02T23:42:11.000Z","91","","64","0.5","256","0.0001551739495941748","500","110","4","12","4","0.10216536282065372","7","0.005892293095307306","0.005738283408943004"
